Genre,Title,Revenue
Horror,Movie 0,36554972
Sci-Fi,Movie 1,48320182
Drama,Movie 2,72034119
Sci-Fi,Movie 3,33141524
Sci-Fi,Movie 4,64250080
Comedy,Movie 5,75897747
Drama,Movie 6,56868276
Drama,Movie 7,24735689
Drama,Movie 8,54902678
Sci-Fi,Movie 9,48783215
Horror,Movie 10,57016921
Drama,Movie 11,61041835
Sci-Fi,Movie 12,38304471
Comedy,Movie 13,37341554
Horror,Movie 14,47741992
Comedy,Movie 15,35516634
Horror,Movie 16,52257336
Sci-Fi,Movie 17,48298681
Action,Movie 18,89502923
Horror,Movie 19,34623636
Comedy,Movie 20,38269282
Sci-Fi,Movie 21,56359146
Horror,Movie 22,63090576
Action,Movie 23,84308389
Action,Movie 24,74343807
Drama,Movie 25,62355996
Drama,Movie 26,54395888
Comedy,Movie 27,63449455
Horror,Movie 28,40845169
Horror,Movie 29,45257511
Drama,Movie 30,27763636
Horror,Movie 31,46567287
Horror,Movie 32,64439619
Action,Movie 33,46854613
Drama,Movie 34,38389356
Sci-Fi,Movie 35,44603327
Drama,Movie 36,60861248
Sci-Fi,Movie 37,46163530
Action,Movie 38,62748818
Comedy,Movie 39,30330136
Horror,Movie 40,36945425
Action,Movie 41,42400351
Horror,Movie 42,30350739
Comedy,Movie 43,94154951
Comedy,Movie 44,33556013
Action,Movie 45,63723264
Comedy,Movie 46,40009090
Sci-Fi,Movie 47,42293187
Comedy,Movie 48,54519842
Horror,Movie 49,28122246
Horror,Movie 50,40058925
Horror,Movie 51,47802907
Horror,Movie 52,37309744
Sci-Fi,Movie 53,37662659
Drama,Movie 54,66300905
Action,Movie 55,65074803
Horror,Movie 56,43373509
Comedy,Movie 57,48737523
Horror,Movie 58,68555241
Comedy,Movie 59,28602816
Comedy,Movie 60,55070339
Horror,Movie 61,79618567
Sci-Fi,Movie 62,79475521
Comedy,Movie 63,20901331
Comedy,Movie 64,38560595
Horror,Movie 65,52529890
Comedy,Movie 66,30171845
Comedy,Movie 67,39976299
Horror,Movie 68,47940634
Horror,Movie 69,71019823
Action,Movie 70,49318960
Sci-Fi,Movie 71,53254050
Sci-Fi,Movie 72,57686355
Comedy,Movie 73,58152330
Sci-Fi,Movie 74,50421491
Comedy,Movie 75,32043694
Action,Movie 76,61845092
Horror,Movie 77,56472341
Horror,Movie 78,33548715
Horror,Movie 79,39765476
Sci-Fi,Movie 80,63312674
Action,Movie 81,59082246
Sci-Fi,Movie 82,39195530
Sci-Fi,Movie 83,45950993
Action,Movie 84,47848066
Action,Movie 85,59255056
Action,Movie 86,68734110
Action,Movie 87,50984737
Horror,Movie 88,67538114
Drama,Movie 89,63099754
Drama,Movie 90,53084752
Action,Movie 91,28347749
Drama,Movie 92,34584337
Drama,Movie 93,61118609
Action,Movie 94,24342056
Drama,Movie 95,51784677
Sci-Fi,Movie 96,65007284
Comedy,Movie 97,52286312
Comedy,Movie 98,40979041
Action,Movie 99,37300784
