Student,Sex,Preferred_Drink,Study_Hours
1,F,Soda,5.7
0,M,Coffee,3.6
1,M,Water,6.8
0,M,Tea,5.6
1,F,Water,6.6
0,F,Water,6.3
1,F,Tea,3.3
0,F,Soda,3.9
0,M,Water,6.5
1,M,Coffee,6.2
0,F,Water,5.0
1,M,Tea,5.2
0,M,Tea,7.6
1,F,Tea,3.8
0,M,Soda,6.1
1,F,Water,4.6
0,M,Soda,4.6
1,F,Soda,7.2
0,F,Tea,6.7
1,F,Tea,6.6
1,F,Soda,7.6
1,M,Water,5.0
0,F,Coffee,6.4
1,F,Soda,4.4
0,F,Water,5.6
1,M,Tea,4.7
0,F,Tea,5.2
1,M,Water,6.2
0,F,Coffee,3.4
0,M,Tea,9.2
1,M,Tea,3.0
0,F,Tea,2.6
0,M,Water,7.3
1,F,Soda,6.6
0,F,Tea,6.2
0,F,Soda,6.3
0,M,Coffee,5.0
1,M,Tea,3.2
0,F,Tea,5.2
1,F,Coffee,3.6
0,M,Tea,7.0
0,F,Soda,4.7
0,F,Water,3.3
1,F,Soda,4.4
0,M,Water,5.8
0,M,Water,3.9
1,M,Soda,3.4
0,F,Soda,5.5
1,F,Soda,5.5
1,F,Soda,4.0
0,M,Coffee,4.1
1,F,Tea,5.5
0,F,Water,2.1
1,F,Soda,2.2
1,F,Soda,3.6
0,M,Soda,4.6
1,M,Coffee,5.6
1,F,Soda,8.0
1,M,Soda,6.7
1,M,Soda,4.7
1,F,Tea,5.0
0,F,Coffee,3.0
1,M,Soda,5.0
0,F,Water,4.4
1,M,Water,5.6
0,F,Water,3.3
0,M,Coffee,6.0
1,F,Coffee,8.1
1,M,Water,4.8
1,M,Soda,5.8
0,M,Coffee,6.4
1,F,Water,4.2
0,M,Water,5.4
0,M,Soda,5.0
0,F,Tea,5.2
1,F,Coffee,3.5
1,M,Soda,5.0
0,M,Water,6.0
0,F,Water,7.9
1,F,Soda,6.9
0,F,Coffee,9.3
1,F,Tea,3.5
0,F,Tea,6.7
1,M,Water,5.4
0,F,Coffee,9.4
1,M,Tea,3.4
0,M,Coffee,3.3
1,M,Coffee,3.8
1,F,Water,0.8
0,M,Tea,3.9
0,M,Soda,3.5
1,F,Water,5.3
0,M,Tea,5.7
1,M,Tea,8.8
0,F,Tea,6.9
1,M,Tea,3.8
1,M,Tea,3.2
1,M,Coffee,6.0
1,F,Water,2.4
1,F,Coffee,8.7
